"店舗名","アウト","商圏総台数","台数","自店客数","商圏客数","売上合計(千円)","補粗利合計","商圏稼動率","自店稼動率","利益率","自店支持率","アウト支持率"
"40 錦糸町店","-","4,985.1","994","396","1,796","996,329","170,121,356","36.0%","39.8%","16.3%","110.4%","-"
"41 座間店","-","4,286.3","1,028","245","1,673","453,619","75,270,772","39.0%","23.8%","16.6%","61.1%","-"
"42 平塚駅前店","-","4,751.7","988","305","1,445","621,726","106,381,609","30.4%","30.9%","17.1%","101.6%","-"
"43 上永谷店","-","3,924.3","638","156","1,153","254,131","41,877,083","29.4%","24.5%","16.5%","83.3%","-"
"44 姫路店　","-","4,161.3","910","268","1,271","463,689","72,418,339","30.5%","29.4%","15.4%","96.2%","-"
"45 新開地店","-","4,404.8","1,335","544","1,540","1,022,934","136,079,207","35.0%","40.7%","13.1%","116.5%","-"
"46 仙台東店","-","5,242.4","826","266","1,362","593,321","96,724,378","26.0%","32.2%","15.9%","124.0%","-"
"47 仙台泉店","-","5,622.0","910","303","1,686","709,505","126,460,039","30.0%","33.3%","17.5%","111.0%","-"
"48 福岡本店","-","9,568.1","1,189","419","2,908","765,185","127,984,234","30.4%","35.2%","15.3%","115.9%","-"
"49 筑紫野店","-","9,710.2","1,745","523","3,058","901,390","167,658,767","31.5%","29.9%","17.4%","95.1%","-"
"50 福重店","-","8,585.1","994","345","2,895","638,559","137,083,964","33.7%","34.7%","20.4%","102.9%","-"
"51 伊都店","-","6,000.4","997","258","1,970","345,858","75,198,154","32.8%","25.9%","20.6%","78.9%","-"
"52 飯塚店","-","7,000.6","1,246","343","2,107","519,577","96,634,206","30.1%","27.5%","17.2%","91.4%","-"
"53 中間店","-","6,526.7","843","255","1,872","385,078","67,972,674","28.7%","30.2%","16.3%","105.4%","-"
"54 門司店","-","1,983.5","636","151","439","207,463","45,963,228","22.1%","23.8%","20.8%","107.7%","-"
"55 松浦店","-","1,120.5","716","120","182","145,583","34,358,456","16.2%","16.7%","22.4%","102.9%","-"
"56 佐々インター店","-","5,480.7","1,017","398","1,545","698,171","147,513,350","28.2%","39.1%","19.5%","138.6%","-"
"57 大野店","-","1,833.0","603","152","374","222,654","53,249,849","20.4%","25.3%","22.6%","123.7%","-"
"58 佐世保南店","-","4,575.9","815","307","1,498","531,927","114,893,455","32.7%","37.7%","20.3%","115.1%","-"
"59 大村店","-","2,813.8","736","265","799","439,174","83,439,840","28.4%","36.0%","17.5%","126.9%","-"
"60 諫早店","-","5,583.0","1,179","350","1,712","567,419","112,667,566","30.7%","29.7%","18.6%","96.7%","-"
"61 長与店","-","2,273.9","844","297","867","476,379","94,989,305","38.1%","35.2%","18.3%","92.2%","-"
"62 女神店","-","4,099.9","1,274","434","1,152","649,931","149,739,793","28.1%","34.1%","21.4%","121.2%","-"
"63 大分本店","-","7,969.2","995","283","1,978","353,082","60,785,013","24.8%","28.4%","15.7%","114.6%","-"
"64 南大分店","-","4,336.8","995","302","1,244","492,427","83,712,250","28.7%","30.3%","15.6%","105.8%","-"
"65 日向店","-","3,776.4","994","320","959","475,700","84,174,419","25.4%","32.2%","15.6%","126.7%","-"
"66 都城店","-","6,572.3","1,026","235","2,102","347,398","64,461,636","32.0%","22.9%","17.0%","71.6%","-"
"67 大淀店","-","7,471.4","1,332","474","2,481","726,123","97,677,426","33.2%","35.6%","12.0%","107.1%","-"
"68 延岡店","-","3,583.8","997","316","1,042","514,862","106,106,068","29.1%","31.7%","19.2%","109.0%","-"
"69 松橋インター店","-","3,299.1","827","204","980","378,850","56,774,694","29.7%","24.6%","15.0%","82.9%","-"
"70 八代店","-","4,834.7","994","342","1,332","635,050","90,995,969","27.5%","34.4%","14.3%","124.7%","-"
